ID,Par_No,SB_LIB,XD,XDP,XDPP,Xq,XqP,XqPP,X2,Ra,TD0P,TD0PP,Tq0P,Tq0PP,TJ,a,b,n,D_Sec,Note
495,495,0.0000,5.100000,0.648800,0.493000,4.958000,1.082000,0.487300,0.514498,0.000000,8.600000,0.044000,1.000000,0.077000,3.583000,0.900000,0.000000,9.000000,0.000000,_
496,496,0.0000,5.100000,0.648800,0.493000,4.958000,1.082000,0.487300,0.514498,0.000000,8.600000,0.044000,1.000000,0.077000,4.430000,0.900000,0.000000,9.000000,0.000000,_
497,497,0.0000,12.620000,1.731000,1.171000,10.180000,2.932000,0.850000,1.372683,0.000000,7.500000,0.030000,1.700000,0.050000,0.953660,0.900000,0.000000,9.000000,0.000000,_
498,498,0.0000,8.809000,1.055000,0.641400,7.727000,2.226000,0.645200,0.836615,0.000000,7.500000,0.030000,1.700000,0.050000,1.634980,0.900000,0.000000,9.000000,0.000000,_
499,499,0.0000,15.350000,2.431000,0.000000,17.000000,4.896000,0.000000,1.927783,0.000000,999.000000,0.000000,1.700000,0.000000,1.184700,0.900000,0.000000,9.000000,0.000000,_
500,500,0.0000,5.126000,0.815700,0.686900,5.025000,1.258000,0.674200,0.646850,0.000000,8.060000,0.042000,0.900000,0.065000,3.888000,0.900000,0.000000,9.000000,0.000000,_
501,501,0.0000,5.134000,0.814500,0.688200,5.027000,1.277000,0.677400,0.645899,0.000000,8.060000,0.042000,0.900000,0.066000,4.170000,0.900000,0.000000,9.000000,0.000000,_
502,502,0.0000,10.010000,0.925600,0.713100,9.633000,1.828000,0.703600,0.734001,0.000000,11.500000,0.043000,1.300000,0.087000,2.209000,0.900000,0.000000,9.000000,0.000000,_
503,503,0.0000,19.129999,1.947000,1.505000,18.360001,3.672000,1.496000,1.543971,0.000000,10.500000,0.043000,1.200000,0.082000,1.213000,0.900000,0.000000,9.000000,0.000000,_
504,504,0.0000,3.963000,0.616200,0.516600,3.880000,0.981300,0.508300,0.488647,0.000000,8.600000,0.042000,1.000000,0.068000,6.019600,0.900000,0.000000,9.000000,0.000000,_
505,505,0.0000,57.849998,5.728000,3.400000,57.849998,5.728000,3.400000,4.542304,0.000000,11.900000,0.030000,1.700000,0.050000,0.160000,0.900000,0.000000,9.000000,0.000000,_
506,506,0.0000,16.709999,4.140000,0.000000,9.623000,8.695000,0.000000,3.283020,0.000000,999.000000,0.000000,0.000000,0.000000,0.599000,0.900000,0.000000,9.000000,0.000000,_
507,507,0.0000,5.061000,0.650700,0.515700,5.712000,1.670000,0.402500,0.516005,0.000000,7.500000,0.030000,1.700000,0.050000,3.109200,0.900000,0.000000,9.000000,0.000000,_
508,508,0.0000,5.255000,0.727600,0.479700,5.255000,0.727600,0.479700,0.576987,0.000000,9.220000,0.051000,1.000000,0.051000,2.542200,0.900000,0.000000,9.000000,0.000000,_
509,509,0.0000,5.255000,0.727600,0.479700,5.255000,0.727600,0.479700,0.576987,0.000000,9.220000,0.051000,1.000000,0.051000,2.289200,0.900000,0.000000,9.000000,0.000000,_
510,510,0.0000,5.783000,1.418000,1.130000,4.023000,0.000000,1.130000,0.921700,0.000000,12.600000,0.040000,0.000000,0.060000,1.756000,0.900000,0.000000,9.000000,0.000000,_
511,511,0.0000,6.919000,0.913200,0.720000,6.638000,1.651000,0.720000,0.724168,0.000000,6.300000,0.044000,0.600000,0.089000,3.405000,0.900000,0.000000,9.000000,0.000000,_
512,512,0.0000,5.202000,0.644600,0.476000,5.072000,1.071000,0.470300,0.511168,0.000000,8.470000,0.045000,0.900000,0.079000,3.440000,0.900000,0.000000,9.000000,0.000000,_
513,513,0.0000,19.129999,1.947000,1.573000,18.360001,3.672000,1.573000,1.543971,0.000000,10.500000,0.040000,1.200000,0.040000,1.213000,0.900000,0.000000,9.000000,0.000000,_
514,514,0.0000,5.445000,0.549800,0.419700,5.392000,0.993400,0.419700,0.435991,0.000000,14.800000,0.044000,1.900000,0.079000,4.414000,0.900000,0.000000,9.000000,0.000000,_
