ID,Par_No,SB_LIB,XD,XDP,XDPP,Xq,XqP,XqPP,X2,Ra,TD0P,TD0PP,Tq0P,Tq0PP,TJ,a,b,n,D_Sec,Note
522,522,0,1.98,0.25,0.189,1.928,1.735,0.186,0.19825,0,8.6,0.04,0.96,0.07,7.69485,0.9,0,9,0,_
523,523,0,1.048,0.3224,0,0.628,0.628,0,0.20956,0,999,0,0,0,6.459,0.9,0,9,0,_
524,524,0,2.097,0.269,0.215,1.967,0.455,0.2278,0.213317,0,6.19,0.023,0.79,0.036,10.64896,0.9,0,9,0,_
525,525,0,1.058,0.2905,0.1918,0.6845,0,0.226,0.188825,0,6.5,0.04,0,0.06,8.542,0.9,0,9,0,_
526,526,0,2.08,0.21,0.17,1.957,0.354,0.177,0.16653,0,10.46,0.023,0.98,0.035,8.30202,0.9,0,9,0,_
527,527,0,2.186,0.229,0.172,2.047,0.369,0.185,0.176,0,9.84,0.022,0.934,0.034,6.032,0.9,0,9,0,_
528,528,0,1.894,0.195,0.15,1.781,0.323,0.161,0.154,0,10.455,0.023,0.975,0.035,8.134,0.9,0,9,0,_
529,529,0,1.95,0.245,0.185,1.93,0.405,0.186,0.19,0,8.15,0.0442,0.956,0.0744,5.128,0.9,0,9,0,_
530,530,0,2.26963,0.30353,0.22156,2.20928,0.4454,0.21566,0.21861,0,8.72,0.045,0.969,0.069,8.804,0.9,0,9,0,_
531,531,0,2.0797,0.282,0.1904,2.0797,0.282,0.1904,0.2027,0,4.345,0.044,1.165,0.072,5.671,0.9,0,9,0,_
532,532,0,2.001,0.2787,0.1931,1.98,0.4187,0.2156,0.2355,0,11.58,0.062,0.24,0.101,11.506,0.9,0,9,0,_
533,533,0,2.38,0.336,0.251,2.32,0.485,0.247,0.229,0.001931,8.61,0.045,0.956,0.066,6.0011,0.9,0,9,0,_
