transformer_id,middle_point,CN_transformer,taid
430,-421,18009,4211
431,-421,26991,4212
432,-421,26990,4213
433,-422,18010,4221
434,-422,26992,4222
435,-422,26989,4223
436,-423,18891,4231
437,-423,27003,4232
438,-423,27002,4233
439,-424,18709,4241
440,-424,27001,4242
441,-424,27000,4243
442,-425,18073,4251
443,-425,27405,4252
444,-425,26999,4253
445,-426,18074,4261
446,-426,26998,4262
447,-426,26997,4263
448,-427,19483,4271
449,-427,27007,4272
450,-427,27006,4273
451,-428,19484,4281
452,-428,27005,4282
453,-428,27004,4283
454,-429,18000,4291
455,-429,27008,4292
456,-429,27009,4293
457,-430,19064,4301
458,-430,27016,4302
459,-430,27017,4303
460,-431,19065,4311
461,-431,27014,4312
462,-431,27015,4313
463,-432,18397,4321
464,-432,27012,4322
465,-432,27013,4323
466,-433,18398,4331
467,-433,27010,4332
468,-433,27011,4333
469,-434,17786,4341
470,-434,27018,4342
471,-434,27019,4343
472,-435,17787,4351
473,-435,27020,4352
474,-435,27021,4353
475,-436,18048,4361
476,-436,27026,4362
477,-436,27027,4363
478,-437,18049,4371
479,-437,27028,4372
480,-437,27029,4373
481,-438,17993,4381
482,-438,27022,4382
483,-438,27023,4383
484,-439,17994,4391
485,-439,27024,4392
486,-439,27025,4393
487,-440,19014,4401
488,-440,27038,4402
489,-440,27037,4403
490,-441,19015,4411
491,-441,27036,4412
492,-441,27035,4413
493,-442,21130,4421
494,-442,27031,4422
495,-442,27032,4423
496,-443,21244,4431
497,-443,27033,4432
498,-443,27034,4433
499,-444,18645,4441
500,-444,27039,4442
501,-444,27040,4443
502,-445,18646,4451
503,-445,27041,4452
504,-445,27042,4453
505,-446,18440,4461
506,-446,27043,4462
507,-446,27368,4463
508,-447,18441,4471
509,-447,27044,4472
510,-447,27369,4473
511,-448,20231,4481
512,-448,27051,4482
513,-448,27050,4483
514,-449,20232,4491
515,-449,27052,4492
516,-449,27049,4493
517,-450,18132,4501
518,-450,27055,4502
519,-450,27054,4503
520,-451,18133,4511
521,-451,27056,4512
522,-451,27053,4513
523,-452,26139,4521
524,-452,27047,4522
525,-452,27046,4523
526,-453,26137,4531
527,-453,27048,4532
528,-453,27045,4533
529,-454,18056,4541
530,-454,27057,4542
531,-454,27059,4543
532,-455,18057,4551
533,-455,27058,4552
534,-455,27060,4553
535,-456,18116,4561
536,-456,27061,4562
537,-456,27062,4563
538,-457,18117,4571
539,-457,27063,4572
540,-457,27030,4573
541,-458,17671,4581
542,-458,27064,4582
543,-458,27066,4583
544,-459,17672,4591
545,-459,27065,4592
546,-459,27067,4593
547,-460,18274,4601
