id,name,volt,point,I_nd,J_nd,I_node,J_node
序号,刀闸名,电压等级,遥信状态,I端物理节点,J端物理节点,I端所在拓扑节点,J端所在拓扑节点
6131,四川.通川/220kV.2026刀闸,220,1,6688,19161,四川.通川.220.4094,四川.通川.220.4094
6132,四川.通川/220kV.2121刀闸,220,1,598,6690,四川.通川.220.4094,四川.通川.220.4094
6133,四川.通川/220kV.2122刀闸,220,1,597,6689,四川.通川.220.4094,四川.通川.220.4094
6134,四川.通川/220kV.2611刀闸,220,0,6692,598,四川.通川.220.4094,四川.通川.220.4094
6135,四川.通川/220kV.2612刀闸,220,1,6692,597,四川.通川.220.4094,四川.通川.220.4094
6136,四川.通川/220kV.2616刀闸,220,1,19162,6691,四川.通川.220.4094,四川.通川.220.4094
6137,四川.通川/220kV.2621刀闸,220,0,6694,598,四川.通川.220.4094,四川.通川.220.4094
6138,四川.通川/220kV.2622刀闸,220,1,6694,597,四川.通川.220.4094,四川.通川.220.4094
6139,四川.通川/220kV.2626刀闸,220,1,19163,6693,四川.通川.220.4094,四川.通川.220.4094
6140,四川.通川/220kV.2631刀闸,220,1,6696,598,四川.通川.220.4094,四川.通川.220.4094
6141,四川.通川/220kV.2632刀闸,220,0,6696,597,四川.通川.220.4094,四川.通川.220.4094
6142,四川.通川/220kV.2636刀闸,220,1,19164,6695,四川.通川.220.4094,四川.通川.220.4094
6143,四川.冯冲湾/220kV.2121刀闸,220,1,625,7375,四川.冯冲湾.220.4226,四川.冯冲湾.220.4226
6144,四川.冯冲湾/220kV.2122刀闸,220,1,624,7374,四川.冯冲湾.220.4226,四川.冯冲湾.220.4226
6145,四川.冯冲湾/220kV.2611刀闸,220,0,7377,625,四川.冯冲湾.220.nd7377,四川.冯冲湾.220.4226
6146,四川.冯冲湾/220kV.2612刀闸,220,0,7377,624,四川.冯冲湾.220.nd7377,四川.冯冲湾.220.4226
6147,四川.冯冲湾/220kV.2616刀闸,220,0,19165,7376,四川.冯冲湾.220.nd19165,四川.冯冲湾.220.nd7376
6148,四川.冯冲湾/220kV.2621刀闸,220,0,7379,625,四川.冯冲湾.220.nd7379,四川.冯冲湾.220.4226
6149,四川.冯冲湾/220kV.2622刀闸,220,0,7379,624,四川.冯冲湾.220.nd7379,四川.冯冲湾.220.4226
6150,四川.冯冲湾/220kV.2626刀闸,220,0,19166,7378,四川.冯冲湾.220.nd19166,四川.冯冲湾.220.nd7378
6151,四川.冯冲湾/220kV.2631刀闸,220,0,7381,625,四川.冯冲湾.220.nd7381,四川.冯冲湾.220.4226
6152,四川.冯冲湾/220kV.2632刀闸,220,0,7381,624,四川.冯冲湾.220.nd7381,四川.冯冲湾.220.4226
6153,四川.冯冲湾/220kV.2636刀闸,220,0,19167,7380,四川.冯冲湾.220.nd19167,四川.冯冲湾.220.nd7380
6154,四川.冯冲湾/220kV.2641刀闸,220,0,7383,625,四川.冯冲湾.220.nd7383,四川.冯冲湾.220.4226
6155,四川.冯冲湾/220kV.2642刀闸,220,0,7383,624,四川.冯冲湾.220.nd7383,四川.冯冲湾.220.4226
6156,四川.冯冲湾/220kV.2646刀闸,220,0,19168,7382,四川.冯冲湾.220.nd19168,四川.冯冲湾.220.nd7382
