id,name,volt,point,I_nd,J_nd,I_node,J_node
序号,断路器名,电压等级,遥信状态,I端物理节点,J端物理节点,I端所在拓扑节点,J端所在拓扑节点
2635,四川.桃乡/500kV.5011开关,500,1,7062,7063,四川.桃乡.500.4706,四川.桃乡.500.4706
2636,四川.桃乡/500kV.5012开关,500,1,7064,7065,四川.桃乡.500.4706,四川.桃乡.500.4706
2637,四川.桃乡/500kV.5021开关,500,1,7066,7067,四川.桃乡.500.4706,四川.桃乡.500.4706
2638,四川.桃乡/500kV.5022开关,500,1,7068,7069,四川.桃乡.500.4706,四川.桃乡.500.4706
2639,四川.桃乡/500kV.5023开关,500,1,7070,7071,四川.桃乡.500.4706,四川.桃乡.500.4706
2640,四川.桃乡/500kV.5032开关,500,1,7072,7073,四川.桃乡.500.4706,四川.桃乡.500.4706
2641,四川.桃乡/500kV.5033开关,500,1,7074,7075,四川.桃乡.500.4706,四川.桃乡.500.4706
2642,四川.桃乡/500kV.5041开关,500,1,7076,7077,四川.桃乡.500.4706,四川.桃乡.500.4706
2643,四川.桃乡/500kV.5042开关,500,1,7078,7079,四川.桃乡.500.4706,四川.桃乡.500.4706
2644,四川.桃乡/500kV.5043开关,500,1,7080,7081,四川.桃乡.500.4706,四川.桃乡.500.4706
2645,四川.桃乡/500kV.5051开关,500,1,7082,7083,四川.桃乡.500.4706,四川.桃乡.500.4706
2646,四川.桃乡/500kV.5053开关,500,1,7084,7085,四川.桃乡.500.4706,四川.桃乡.500.4706
2647,四川.桃乡/500kV.5061开关,500,1,7086,7087,四川.桃乡.500.4706,四川.桃乡.500.4706
2648,四川.桃乡/500kV.5062开关,500,1,7088,7089,四川.桃乡.500.4706,四川.桃乡.500.4706
2649,四川.桃乡/500kV.5063开关,500,1,7090,7091,四川.桃乡.500.4706,四川.桃乡.500.4706
2650,四川.桃乡/500kV.5082开关,500,1,7092,7093,四川.桃乡.500.4706,四川.桃乡.500.4706
2651,四川.桃乡/500kV.5083开关,500,1,7094,7095,四川.桃乡.500.4706,四川.桃乡.500.4706
2652,四川.桃乡/66kV.601开关,60,1,7096,608,四川.桃乡.60.4712,四川.桃乡.60.4712
2653,四川.桃乡/66kV.602开关,60,1,7097,607,四川.桃乡.60.4713,四川.桃乡.60.4713
2654,四川.桃乡/66kV.611开关,60,1,7098,7099,四川.桃乡.60.4712,四川.桃乡.60.4712
2655,四川.桃乡/66kV.612开关,60,0,7100,7101,四川.桃乡.60.nd7100,四川.桃乡.60.4712
2656,四川.桃乡/66kV.613开关,60,1,7102,7103,四川.桃乡.60.4712,四川.桃乡.60.4712
2657,四川.桃乡/66kV.614开关,60,1,7104,7105,四川.桃乡.60.4712,四川.桃乡.60.4712
2658,四川.桃乡/66kV.615开关,60,0,7106,7107,四川.桃乡.60.nd7106,四川.桃乡.60.nd7107
2659,四川.桃乡/66kV.616开关,60,0,7108,7109,四川.桃乡.60.nd7108,四川.桃乡.60.nd7109
2660,四川.桃乡/66kV.617开关,60,0,7110,7111,四川.桃乡.60.nd7110,四川.桃乡.60.nd7111
2661,四川.桃乡/66kV.618开关,60,0,7112,7113,四川.桃乡.60.4712,四川.桃乡.60.nd7113
2662,四川.桃乡/66kV.619开关,60,1,7114,7115,四川.桃乡.60.4712,四川.桃乡.60.4712
2663,四川.桃乡/66kV.621开关,60,1,7116,7117,四川.桃乡.60.4713,四川.桃乡.60.4713
2664,四川.桃乡/66kV.622开关,60,1,7118,7119,四川.桃乡.60.4713,四川.桃乡.60.4713
2665,四川.桃乡/66kV.623开关,60,1,7120,7121,四川.桃乡.60.4713,四川.桃乡.60.4713
2666,四川.桃乡/66kV.624开关,60,0,7122,7123,四川.桃乡.60.nd7122,四川.桃乡.60.4713
2667,四川.桃乡/66kV.625开关,60,0,7124,7125,四川.桃乡.60.nd7124,四川.桃乡.60.4713
2668,四川.桃乡/66kV.626开关,60,0,7126,7127,四川.桃乡.60.nd7126,四川.桃乡.60.4713
2669,四川.桃乡/66kV.627开关,60,0,7128,7129,四川.桃乡.60.nd7128,四川.桃乡.60.nd7129
2670,四川.桃乡/66kV.628开关,60,0,7130,7131,四川.桃乡.60.4713,四川.桃乡.60.nd7131
2671,四川.桃乡/66kV.629开关,60,1,7132,7133,四川.桃乡.60.4713,四川.桃乡.60.4713
2672,四川.资阳/220kV.201开关,220,1,7134,7135,西南.资阳站.220.4746,西南.资阳站.220.4746
2673,四川.资阳/220kV.203开关,220,1,7136,7137,西南.资阳站.220.4746,西南.资阳站.220.4746
2674,四川.资阳/220kV.212开关,220,1,7138,7139,西南.资阳站.220.4746,西南.资阳站.220.4746
2675,四川.资阳/220kV.213开关,220,1,7140,7141,西南.资阳站.220.4746,西南.资阳站.220.4746
2676,四川.资阳/220kV.224开关,220,1,28990,28991,西南.资阳站.220.nd28990,西南.资阳站.220.nd28991
2677,四川.资阳/220kV.234开关,220,1,7142,7143,西南.资阳站.220.4746,西南.资阳站.220.4746
2678,四川.资阳/35kV.301开关,35,1,7144,613,西南.资阳站.35.4761,西南.资阳站.35.4761
2679,四川.资阳/35kV.303开关,35,1,7145,612,西南.资阳站.35.4762,西南.资阳站.35.4762
2680,四川.资阳/35kV.311开关,35,1,7146,7147,西南.资阳站.35.4761,西南.资阳站.35.4761
2681,四川.资阳/35kV.312开关,35,0,7148,7149,西南.资阳站.35.4761,西南.资阳站.35.nd7149
2682,四川.资阳/35kV.313开关,35,0,7150,7151,西南.资阳站.35.nd7150,西南.资阳站.35.4761
2683,四川.资阳/35kV.314开关,35,0,7152,7153,西南.资阳站.35.nd7152,西南.资阳站.35.4761
2684,四川.资阳/35kV.315开关,35,0,7154,7155,西南.资阳站.35.nd7154,西南.资阳站.35.4761
2685,四川.资阳/35kV.316开关,35,0,7156,7157,西南.资阳站.35.nd7156,西南.资阳站.35.4761
2686,四川.资阳/35kV.317开关,35,0,7158,7159,西南.资阳站.35.4761,西南.资阳站.35.nd7159
2687,四川.资阳/35kV.331开关,35,0,7160,7161,西南.资阳站.35.nd7160,西南.资阳站.35.4762
2688,四川.资阳/35kV.332开关,35,1,7162,7163,西南.资阳站.35.4762,西南.资阳站.35.4762
2689,四川.资阳/35kV.333开关,35,0,7164,7165,西南.资阳站.35.nd7164,西南.资阳站.35.4762
2690,四川.资阳/35kV.334开关,35,0,7166,7167,西南.资阳站.35.nd7166,西南.资阳站.35.4762
2691,四川.资阳/35kV.335开关,35,0,7168,7169,西南.资阳站.35.4762,西南.资阳站.35.nd7169
2692,四川.资阳/35kV.336开关,35,0,7170,7171,西南.资阳站.35.nd7170,西南.资阳站.35.nd7171
2693,四川.资阳/35kV.337开关,35,0,7172,7173,西南.资阳站.35.4762,西南.资阳站.35.nd7173
2694,四川.资阳/500kV.5011开关,500,1,7174,7175,西南.资阳站.500.4744,西南.资阳站.500.4744
