component_id,component_name,volt,sub_name,nd,island,sub_id
序号,并补名,电压等级,,物理节点,电气岛号,厂站索引
568,国调.宜宾换流站/500kV.5624SC,500,国调.宜宾换流,13463,0,1685
569,国调.宜宾换流站/500kV.5631ACF,500,国调.宜宾换流,13466,0,1685
570,国调.宜宾换流站/500kV.5632ACF,500,国调.宜宾换流,13468,0,1685
571,国调.宜宾换流站/500kV.5633ACF,500,国调.宜宾换流,13470,0,1685
572,国调.宜宾换流站/500kV.5634SC,500,国调.宜宾换流,13472,0,1685
573,国调.宜宾换流站/500kV.5641ACF,500,国调.宜宾换流,13474,0,1685
574,国调.宜宾换流站/500kV.5642ACF,500,国调.宜宾换流,13476,0,1685
575,国调.宜宾换流站/500kV.5643SC,500,国调.宜宾换流,13478,0,1685
576,国调.宜宾换流站/500kV.5644SC,500,国调.宜宾换流,13480,0,1685
577,国调.宜宾换流站/500kV.5645SC,500,国调.宜宾换流,13506,0,1685
578,国调.宜宾换流站/35kV.311L,35,国调.宜宾换流,13483,0,1688
579,国调.宜宾换流站/35kV.312L,35,国调.宜宾换流,13485,0,1688
580,国调.宜宾换流站/35kV.313L,35,国调.宜宾换流,13487,0,1688
581,国调.宜宾换流站/35kV.321L,35,国调.宜宾换流,13492,0,1688
582,国调.宜宾换流站/35kV.322L,35,国调.宜宾换流,13494,0,1688
583,国调.宜宾换流站/35kV.323L,35,国调.宜宾换流,13496,0,1688
584,国调.宜宾换流站/500kV.5615SC,500,国调.宜宾换流,13500,0,1685
585,国调.宜宾换流站/500kV.5625SC,500,国调.宜宾换流,13501,0,1685
586,国调.宜宾换流站/500kV.5635SC,500,国调.宜宾换流,13504,0,1685
587,四川.蜀州/500kV.康蜀三线电抗器,500,四川.蜀州,24234,0,217
588,四川.蜀州/500kV.康蜀四线电抗器,500,四川.蜀州,24233,0,217
589,四川.巴中/35kV.1-2电容器,35,四川.巴中,13646,0,1716
590,四川.巴中/35kV.1-1电容器,35,四川.巴中,13644,0,1716
591,四川.巴中/35kV.1-3电容器,35,四川.巴中,13648,0,1716
592,四川.巴中/35kV.1-1电抗器,35,四川.巴中,13650,0,1716
593,四川.巴中/35kV.1-2电抗器,35,四川.巴中,13652,0,1716
594,四川.巴中/35kV.2-1电容器,35,四川.巴中,13654,0,1716
595,四川.巴中/35kV.2-2电容器,35,四川.巴中,13656,0,1716
596,四川.巴中/35kV.2-3电容器,35,四川.巴中,13658,0,1716
597,四川.巴中/35kV.2-1电抗器,35,四川.巴中,13660,0,1716
598,四川.巴中/35kV.2-2电抗器,35,四川.巴中,13662,0,1716
599,四川.达州/500kV.中达二线电抗器,500,四川.达州,24362,0,378
600,西南.澜沧江站/220kV.塘澜二线线路高抗,220,西南.澜沧江站,24515,27,2452
601,西南.澜沧江站/220kV.塘澜一线线路高抗,220,西南.澜沧江站,24514,27,2452
602,西藏.澜沧江站/10.5kV.171电抗器,10,西南.澜沧江站,14308,27,1789
603,西藏.澜沧江站/10.5kV.172电抗器,10,西南.澜沧江站,14309,27,1789
604,西藏.澜沧江站/10.5kV.173电抗器,10,西南.澜沧江站,14310,27,1789
605,西藏.澜沧江站/10.5kV.174电抗器,10,西南.澜沧江站,14311,27,1789
606,西藏.澜沧江站/10.5kV.175电抗器,10,西南.澜沧江站,14312,27,1789
607,西藏.澜沧江站/10.5kV.176电抗器,10,西南.澜沧江站,14313,27,1789
608,西藏.澜沧江站/10.5kV.177电抗器,10,西南.澜沧江站,14314,27,1789
609,西藏.澜沧江站/10.5kV.178电抗器,10,西南.澜沧江站,14315,27,1789
610,四川.新都桥/35kV.#2-1电抗器,35,四川.新都桥,14052,-1,1797
611,四川.新都桥/35kV.#1-1电抗器,35,四川.新都桥,14050,0,1797
612,四川.甘谷地/500kV.甘桥二线电抗器,500,四川.甘谷地,24571,0,938
613,四川.甘谷地/500kV.甘桥一线电抗器,500,四川.甘谷地,24570,0,938
614,四川.巴塘/10.5kV.电容器Ⅲ路,10,西南.巴塘站,14221,0,1822
615,四川.巴塘/10.5kV.电容器Ⅱ路,10,西南.巴塘站,14222,0,1822
616,四川.巴塘/10.5kV.电容器Ⅰ路,10,西南.巴塘站,14223,0,1822
617,四川.巴塘/10.5kV.电抗器Ⅲ路,10,西南.巴塘站,14224,0,1822
618,四川.巴塘/10.5kV.电抗器Ⅱ路,10,西南.巴塘站,14225,0,1822
619,四川.巴塘/10.5kV.电抗器Ⅰ路,10,西南.巴塘站,14226,0,1822
620,四川.巴塘/10.5kV.电抗器Ⅵ路,10,西南.巴塘站,14227,0,1822
621,四川.巴塘/10.5kV.电抗器Ⅴ路,10,西南.巴塘站,14228,0,1822
622,四川.巴塘/10.5kV.电抗器Ⅳ路,10,西南.巴塘站,14229,0,1822
623,四川.巴塘/220kV.269线路高抗,220,西南.巴塘站,24616,0,1793
624,四川.巴塘/220kV.268线路高抗,220,西南.巴塘站,24615,0,1793
625,四川.巴塘/220kV.塘乡二线电抗器,220,西南.巴塘站,50436,-1,1793
626,四川.巴塘/220kV.塘乡一线电抗器,220,西南.巴塘站,50437,-1,1793
627,四川.玉龙/10.5kV.171电抗器,10,西藏.玉龙,14282,27,1804
628,四川.玉龙/10.5kV.172电抗器,10,西藏.玉龙,14283,-1,1804
629,四川.玉龙/10.5kV.173电抗器,10,西藏.玉龙,14284,27,1804
630,四川.玉龙/10.5kV.174电抗器,10,西藏.玉龙,14285,-1,1804
631,四川.玉龙/10.5kV.175电抗器,10,西藏.玉龙,14286,27,1804
632,四川.玉龙/10.5kV.176电抗器,10,西藏.玉龙,14287,-1,1804
633,四川.玉龙/10.5kV.177电抗器,10,西藏.玉龙,14288,27,1804
634,四川.玉龙/10.5kV.178电抗器,10,西藏.玉龙,14289,-1,1804
635,西藏.邦达/10.5kV.171电抗器,10,西藏.邦达,14321,27,1808
636,西藏.邦达/10.5kV.172电抗器,10,西藏.邦达,14322,27,1808
637,西藏.邦达/10.5kV.173电抗器,10,西藏.邦达,14323,27,1808
638,西藏.邦达/10.5kV.174电抗器,10,西藏.邦达,14320,27,1808
639,西藏.邦达/10.5kV.161电容器,10,西藏.邦达,24702,27,1808
640,西藏.邦达/10.5kV.162电容器,10,西藏.邦达,24699,27,1808
641,西藏.邦达/10.5kV.163电容器,10,西藏.邦达,24701,27,1808
642,西藏.邦达/10.5kV.164电容器,10,西藏.邦达,24698,27,1808
643,四川.丹景/35kV.3-1#电抗器,35,四川.丹景,14814,0,87
644,四川.丹景/35kV.3-1#电容器,35,四川.丹景,25067,0,87
645,四川.丹景/35kV.3-2#电抗器,35,四川.丹景,14818,0,87
646,四川.丹景/35kV.3-2#电容器,35,四川.丹景,25068,0,87
647,四川.大岗山厂/500kV.5013K17电抗器,500,四川.大岗山厂,25081,0,1949
648,四川.雅安/35kV.1-3#电抗器,35,四川.雅安,14964,0,272
649,四川.纳日/35kV.1-1#电抗器,35,四川.纳日,25299,-1,1996
650,四川.纳日/35kV.1-2#电抗器,35,四川.纳日,15093,-1,1996
651,四川.广草坪/10.5kV.1#电抗器,10,四川.广草坪厂,15204,16,1829
652,四川.广都/66kV.#1-1电容器,60,四川.广都,15269,0,2017
653,四川.广都/66kV.#1-2电容器,60,四川.广都,15271,0,2017
654,四川.广都/66kV.#1-3电容器,60,四川.广都,50438,-1,2017
655,四川.广都/66kV.#1-4电容器,60,四川.广都,15275,0,2017
656,四川.广都/66kV.#1-5电容器,60,四川.广都,15277,0,2017
657,四川.广都/66kV.#1-6电容器,60,四川.广都,15279,0,2017
658,四川.广都/66kV.#1-7电容器,60,四川.广都,50439,-1,2017
659,四川.广都/66kV.#1-1电抗器,60,四川.广都,15273,0,2017
660,四川.广都/66kV.#2-1电容器,60,四川.广都,15284,0,2017
661,四川.广都/66kV.#2-2电容器,60,四川.广都,15286,0,2017
662,四川.广都/66kV.#2-3电容器,60,四川.广都,50440,-1,2017
663,四川.广都/66kV.#2-4电容器,60,四川.广都,15290,0,2017
664,四川.广都/66kV.#2-5电容器,60,四川.广都,15292,0,2017
