ID,Par_No,Trw,T5,T6,T7,Kr,Trp,Tw,Tw1,Tw2,Ks,T9,T10,T12,Kw,Kp,T1,T2,T13,T14,T3,T4,VSMAX,VSMIN,Note
84,84,0.020000,6.000000,6.000000,6.000000,0.653900,0.020000,0.860000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,4.000000,0.300000,0.030000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,_____
85,85,0.020000,6.000000,6.000000,6.000000,2.453400,0.020000,2.580000,6.000000,6.000000,1.000000,0.200000,0.100000,0.100000,1.000000,2.000000,0.200000,0.020000,1.000000,1.000000,0.180000,0.018000,0.050000,-0.050000,_____
86,86,0.020000,6.000000,6.000000,6.000000,2.124947,0.020000,0.800000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,7.000000,0.120000,0.020000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,__#4
87,87,0.010000,5.000000,5.000000,5.000000,2.500000,0.010000,0.790000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.500000,0.150000,0.020000,0.100000,0.100000,0.200000,0.010000,0.050000,-0.050000,bpaPSS4
88,88,0.020000,5.000000,5.000000,5.000000,2.500000,0.020000,0.790000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.500000,0.150000,0.020000,0.100000,0.100000,0.200000,0.010000,0.050000,-0.050000,bpaPSS4
89,89,0.020000,5.000000,5.000000,5.000000,16.000000,0.020000,0.830000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.150000,0.020000,0.100000,0.100000,0.200000,0.020000,0.050000,-0.050000,bpaPSS4
90,90,0.020000,5.000000,5.000000,5.000000,2.127700,0.020000,0.714000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,6.000000,0.130000,0.020000,0.100000,0.100000,0.100000,0.020000,0.050000,-0.050000,bpaPSS4
91,91,0.020000,5.000000,5.000000,5.000000,11.430000,0.020000,1.724000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,2.500000,0.070000,0.020000,0.100000,0.100000,0.300000,0.030000,0.050000,-0.050000,bpaPSS4
92,92,0.020000,6.000000,6.000000,6.000000,17.000000,0.020000,1.630000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,6.000000,0.400000,2.000000,0.100000,0.100000,0.400000,0.020000,0.050000,-0.050000,___#1
93,93,0.010000,5.000000,5.000000,5.000000,10.000000,0.010000,1.500000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,0.400000,0.150000,0.020000,0.100000,0.100000,0.150000,0.020000,0.050000,-0.050000,bpaPSS4
94,94,0.020000,6.000000,6.000000,6.000000,4.000000,0.020000,1.220000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.200000,0.020000,0.010000,0.010000,0.100000,0.010000,0.050000,-0.050000,
95,95,0.020000,5.000000,5.000000,5.000000,3.401400,0.020000,0.890000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,2.000000,0.150000,0.020000,0.100000,0.100000,0.150000,0.020000,0.050000,-0.050000,bpaPSS4
96,96,0.020000,5.000000,5.000000,5.000000,1.059300,0.020000,0.710000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.170000,0.030000,1.000000,1.000000,0.170000,0.030000,0.050000,-0.050000,bpaPSS4
97,97,0.020000,6.000000,6.000000,6.000000,29.630000,0.020000,1.000000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,3.000000,0.100000,0.040000,0.010000,0.010000,0.200000,0.030000,0.100000,-0.100000,bpaPSS4
98,98,0.010000,6.000000,6.000000,6.000000,26.666700,0.010000,1.500000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.300000,0.020000,0.100000,0.100000,0.100000,0.020000,0.050000,-0.050000,bpaPSS4
99,99,0.010000,6.000000,6.000000,6.000000,26.666700,0.010000,1.500000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.030000,0.020000,0.100000,0.100000,0.100000,0.020000,0.050000,-0.050000,bpaPSS4
100,100,0.020000,6.000000,6.000000,6.000000,26.666700,0.020000,1.000000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,2.000000,0.700000,0.550000,0.100000,0.100000,0.100000,0.010000,0.100000,-0.100000,bpaPSS4
101,101,0.020000,5.000000,5.000000,5.000000,3.070000,0.020000,0.920000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,0.070000,0.010000,0.100000,0.100000,0.100000,0.010000,0.050000,-0.050000,bpaPSS4
102,102,0.020000,5.000000,5.000000,5.000000,3.070000,0.020000,0.920000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,8.000000,0.070000,0.010000,0.010000,0.010000,0.100000,0.010000,0.050000,-0.050000,bpaPSS4
103,103,0.020000,6.000000,6.000000,6.000000,14.170000,0.020000,1.970000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,4.000000,0.100000,0.010000,0.100000,0.100000,0.100000,0.020000,0.050000,-0.050000,bpaPSS4
104,104,0.020000,6.000000,6.000000,6.000000,1.770900,0.020000,0.820000,6.000000,6.000000,1.000000,0.600000,0.120000,0.120000,1.000000,2.000000,0.280000,0.030000,1.000000,1.000000,0.300000,0.030000,0.050000,-0.050000,_____
105,105,0.020000,5.000000,5.000000,5.000000,0.500000,0.020000,0.638000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,2.500000,0.200000,0.020000,0.100000,0.030000,0.240000,0.030000,0.100000,-0.100000,___11F
106,106,0.020000,5.000000,5.000000,5.000000,0.500000,0.020000,0.638000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,2.000000,0.200000,0.020000,0.100000,0.030000,0.240000,0.030000,0.100000,-0.100000,___#14
107,107,0.020000,5.000000,5.000000,5.000000,0.500000,0.020000,0.638000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,6.000000,0.200000,0.020000,0.100000,0.030000,0.240000,0.030000,0.100000,-0.100000,___#13
108,108,0.020000,5.000000,5.000000,5.000000,0.207000,0.020000,0.550000,5.000000,5.000000,1.000000,0.600000,0.120000,0.120000,1.000000,5.000000,0.180000,0.020000,0.100000,0.100000,0.200000,0.020000,0.100000,-0.100000,____#1
