id,name,volt,I_node,J_node,I_nd,J_nd,I_id,J_id
序号,刀闸名,电压等级,I端所在拓扑节点,J端所在拓扑节点,I端物理节点,J端物理节点,I端所属厂站索引,J端所属厂站索引
1986,四川.尖山/500kV.50121刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,17955,3606,144,144
1987,四川.尖山/500kV.50122刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,3607,17956,144,144
1988,四川.尖山/500kV.50131刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,17956,3608,144,144
1989,四川.尖山/500kV.50132刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,3609,182,144,144
1990,四川.尖山/500kV.50211刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,181,3610,144,144
1991,四川.尖山/500kV.50212刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,3611,17957,144,144
1992,四川.尖山/500kV.50221刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,17957,3612,144,144
1993,四川.尖山/500kV.50222刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,3613,17958,144,144
1994,四川.尖山/500kV.50231刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,17958,3614,144,144
1995,四川.尖山/500kV.50232刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,3615,182,144,144
1996,四川.尖山/500kV.50311刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,181,3616,144,144
1997,四川.尖山/500kV.50312刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,3617,17959,144,144
1998,四川.尖山/500kV.50321刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,17959,3618,144,144
1999,四川.尖山/500kV.50322刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,3619,17960,144,144
2000,四川.尖山/500kV.50331刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,17960,3620,144,144
2001,四川.尖山/500kV.50332刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,3621,182,144,144
2002,四川.尖山/500kV.50511刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,181,3622,144,144
2003,四川.尖山/500kV.50512刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,3623,17961,144,144
2004,四川.尖山/500kV.50521刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,17961,3624,144,144
2005,四川.尖山/500kV.50522刀闸,500,四川.尖山.500.1291,四川.尖山.500.1291,3625,17962,144,144
2006,四川.姜射坝厂/10.5kV.11刀闸,10,四川.姜射坝厂.10.1326,四川.姜射坝厂.10.1326,55,3626,145,145
2007,四川.姜射坝厂/220kV.2011刀闸,220,四川.姜射坝厂.220.1325,四川.姜射坝厂.220.1325,57,3628,146,146
2008,四川.姜射坝厂/220kV.2021刀闸,220,四川.姜射坝厂.220.1325,四川.姜射坝厂.220.1325,57,3630,146,146
2009,四川.姜射坝厂/10.5kV.21刀闸,10,四川.姜射坝厂.10.1326,四川.姜射坝厂.10.1326,55,3636,145,145
2010,四川.姜射坝厂/220kV.2511刀闸,220,四川.姜射坝厂.220.1325,四川.姜射坝厂.220.1325,3633,57,146,146
2011,四川.姜射坝厂/220kV.2516刀闸,220,四川.姜射坝厂.220.1325,四川.姜射坝厂.220.1325,17963,3632,146,146
2012,四川.姜射坝厂/220kV.2521刀闸,220,四川.姜射坝厂.220.1325,四川.姜射坝厂.220.1325,3635,57,146,146
2013,四川.姜射坝厂/220kV.2526刀闸,220,四川.姜射坝厂.220.1325,四川.姜射坝厂.220.1325,17964,3634,146,146
2014,四川.姜射坝厂/10.5kV.32刀闸,10,四川.姜射坝厂.10.1327,四川.姜射坝厂.10.1327,56,3638,145,145
2015,四川.姜射坝厂/10.5kV.42刀闸,10,四川.姜射坝厂.10.1327,四川.姜射坝厂.10.1327,56,3640,145,145
2016,四川.江南/220kV.2011刀闸,220,四川.江南.220.1328,四川.江南.220.1328,185,3642,147,147
2017,四川.江南/220kV.2012刀闸,220,四川.江南.220.1328,四川.江南.220.1328,186,3642,147,147
2018,四川.江南/220kV.2015刀闸,220,四川.江南.220.nd187,四川.江南.220.1328,187,17965,147,147
2019,四川.江南/220kV.2016刀闸,220,四川.江南.220.1328,四川.江南.220.1328,3643,17965,147,147
2020,四川.江南/220kV.2121刀闸,220,四川.江南.220.1328,四川.江南.220.1328,185,3645,147,147
2021,四川.江南/220kV.2122刀闸,220,四川.江南.220.1328,四川.江南.220.1328,186,3644,147,147
2022,四川.江南/220kV.2151刀闸,220,四川.江南.220.1328,四川.江南.220.1328,3647,185,147,147
2023,四川.江南/220kV.2152刀闸,220,四川.江南.220.1328,四川.江南.220.1328,3647,186,147,147
2024,四川.江南/220kV.2155刀闸,220,四川.江南.220.nd187,四川.江南.220.nd3646,187,3646,147,147
2025,四川.江南/220kV.2611刀闸,220,四川.江南.220.1328,四川.江南.220.1328,3649,185,147,147
2026,四川.江南/220kV.2612刀闸,220,四川.江南.220.1328,四川.江南.220.1328,3649,186,147,147
2027,四川.江南/220kV.2615刀闸,220,四川.江南.220.nd187,四川.江南.220.1328,187,17966,147,147
2028,四川.江南/220kV.2616刀闸,220,四川.江南.220.1328,四川.江南.220.1328,17966,3648,147,147
2029,四川.江南/220kV.2621刀闸,220,四川.江南.220.1328,四川.江南.220.1328,3651,185,147,147
2030,四川.江南/220kV.2622刀闸,220,四川.江南.220.1328,四川.江南.220.1328,3651,186,147,147
2031,四川.江南/220kV.2625刀闸,220,四川.江南.220.nd187,四川.江南.220.1328,187,17967,147,147
2032,四川.江南/220kV.2626刀闸,220,四川.江南.220.1328,四川.江南.220.1328,17967,3650,147,147
2033,四川.江南/220kV.2631刀闸,220,四川.江南.220.1328,四川.江南.220.1328,3653,185,147,147
2034,四川.江南/220kV.2632刀闸,220,四川.江南.220.1328,四川.江南.220.1328,3653,186,147,147
2035,四川.江南/220kV.2635刀闸,220,四川.江南.220.nd187,四川.江南.220.1328,187,17968,147,147
2036,四川.江南/220kV.2636刀闸,220,四川.江南.220.1328,四川.江南.220.1328,17968,3652,147,147
2037,四川.江南/220kV.2641刀闸,220,四川.江南.220.1328,四川.江南.220.1328,3655,185,147,147
2038,四川.江南/220kV.2642刀闸,220,四川.江南.220.1328,四川.江南.220.1328,3655,186,147,147
2039,四川.江南/220kV.2645刀闸,220,四川.江南.220.nd187,四川.江南.220.1328,187,17969,147,147
