index,sub
11801,948
11802,1549
11811,948
11812,1549
11821,1414
11822,1551
11831,1414
11832,1551
11841,1551
11842,1551
11851,190
11852,1553
11861,190
11862,1553
11871,190
11872,1553
11881,193
11882,1554
11891,193
11892,1554
11901,193
11902,1554
11911,549
11912,1478
11921,549
11922,1478
11931,1477
11932,1478
11941,143
11942,1465
11951,143
11952,1465
11961,1441
11962,1465
11971,992
11972,1476
11981,992
11982,1476
11991,1449
11992,1476
12001,398
12002,1555
12011,398
12012,1555
12021,903
12022,1469
12031,903
12032,1469
12041,903
12042,1469
12051,430
12052,1556
12061,430
12062,1556
12071,430
12072,1556
12081,960
12082,1475
12091,960
12092,1475
12101,960
12102,1475
12111,1436
12112,1558
12121,1436
12122,1558
12131,987
12132,1560
12141,987
12142,1560
12151,1445
12152,1560
12161,1470
12162,1561
12171,1470
12172,1561
12181,182
12182,1466
12191,182
12192,1466
12201,182
12202,1466
12211,1542
12212,1544
12221,1542
12222,1544
12231,1331
12232,1562
12241,1446
12242,1545
12251,1506
12252,1568
12261,1506
12262,1568
12271,210
12272,1569
12281,210
12282,1569
12291,210
12292,1569
12301,213
12302,1570
12311,213
12312,1570
12321,213
12322,1570
12331,219
12332,1473
12341,219
12342,1473
12351,219
12352,1473
12361,231
12362,1571
12371,231
12372,1571
12381,231
12382,1571
12391,406
12392,1573
12401,406
12402,1573
12411,406
12412,1573
12421,1574
12422,1575
12431,1574
12432,1575
12491,1567
12492,1568
12521,1588
12522,1587
12541,1591
12542,1592
12551,1591
12552,1592
12561,1247
12562,1452
12571,1588
12572,1587
12581,1593
12582,1594
12591,1593
12592,1594
12601,134
12602,1538
12611,134
12612,1538
12621,134
12622,1538
12661,272
12662,1572
12671,272
12672,1572
12681,272
12682,1572
12691,1470
12692,1561
12701,200
12702,1600
12711,200
12712,1600
12721,200
12722,1600
12731,200
12732,1600
12741,200
12742,1600
12751,419
12752,1531
12761,419
12762,1531
12771,419
12772,1531
12791,1606
12792,1607
12801,1606
12802,1607
12811,1603
12812,1608
12821,1603
12822,1608
12831,1609
12832,1610
12841,1609
12842,1610
12851,1609
12852,1610
12861,1613
12862,1614
12871,1577
12872,1580
12881,1577
12882,1580
12891,1577
12892,1580
12911,267
12912,1525
12921,175
12922,1621
12931,1438
12932,1623
12941,1442
12942,1624
12951,1444
12952,1625
12961,210
12962,1569
12971,95
12972,1547
12981,175
12982,1621
12991,182
12992,1466
13001,210
13002,1569
13011,561
13012,1624
13021,1622
13022,1623
13031,182
13032,1466
13041,210
13042,1569
13051,561
13052,1624
13061,1622
13062,1623
13071,398
13072,1555
13081,1436
13082,1558
13091,175
13092,1621
13101,1620
13102,1629
13111,1620
13112,1629
13121,1626
13122,1627
13131,1626
13132,1627
13141,406
13142,1573
13191,1636
13192,1637
13201,1636
13202,1637
13211,1638
13212,1639
13231,1643
13232,1605
13241,1602
13242,1605
13251,1602
13252,1605
13261,126
13262,1644
13271,126
13272,1644
13281,126
13282,1644
13291,1645
13292,1646
13301,1418
13302,1479
13311,1647
13312,1648
13321,1647
13322,1648
13361,213
13362,1570
13371,1612
13372,1658
13381,1612
13382,1658
13391,1612
13392,1657
13401,1659
13402,1660
13411,1660
13412,1661
13421,1660
13422,1661
13431,1660
13432,1661
13441,1660
13442,1661
13451,1660
13452,1661
13461,1660
13462,1661
13471,1660
13472,1661
13481,1660
13482,1661
13491,1660
13492,1661
