index,sub
13933,1803
13941,1642
13942,1803
13943,1803
13951,1642
13952,1803
13953,1803
13961,1642
13962,1803
13963,1803
13971,1642
13972,1803
13973,1803
13981,1642
13982,1803
13983,1803
13991,1642
13992,1803
13993,1803
14001,1642
14002,1803
14003,1803
14011,1642
14012,1803
14013,1803
14021,1642
14022,1803
14023,1803
14031,1642
14032,1803
14033,1803
14041,1642
14042,1803
14043,1803
14051,1642
14052,1803
14053,1803
14061,1642
14062,1803
14063,1803
14071,1642
14072,1803
14073,1803
14081,1642
14082,1803
14083,1803
14091,1642
14092,1803
14093,1803
14101,1642
14102,1803
14103,1803
14111,1642
14112,1803
14113,1803
14121,1642
14122,1803
14123,1803
14131,1642
14132,1803
14133,1803
14141,1642
14142,1803
14143,1803
14151,1672
14152,1673
14153,1674
14171,1676
14172,1678
14173,1677
14181,1679
14182,1680
14183,1682
14191,1679
14192,1680
14193,1682
14211,380
14212,725
14213,726
14281,1696
14282,1698
14283,1697
14291,1696
14292,1698
14293,1697
14651,1710
14652,1711
14653,1712
14661,1710
14662,1711
14663,1712
14691,1713
14692,1718
14693,1716
14701,1713
14702,1718
14703,1716
14721,1699
14722,1700
14723,1701
15141,1724
15142,1725
15143,1727
15151,1724
15152,1725
15153,1727
15161,1762
15162,1764
15163,1765
15171,1762
15172,1764
15173,1765
15181,1763
15182,1766
15183,1767
15191,1763
15192,1766
15193,1767
15201,1672
15202,1673
15203,1674
15241,455
15242,698
15243,2357
15251,183
15252,1088
15253,1743
15261,183
15262,1088
15263,1743
15271,1735
15272,1744
15273,1745
15281,1735
15282,1744
15283,1745
15291,1735
15292,1744
15293,1745
15321,1749
15322,1750
15323,1751
15331,1749
15332,1750
15333,1751
15351,1752
15352,1755
15353,2211
15361,1752
15362,1755
15363,2211
15381,1757
15382,1758
15383,1759
15391,1757
15392,1758
15393,1759
15741,1768
15742,1770
15743,1769
15751,1768
15752,1770
15753,1769
15761,1771
15762,1772
15763,1774
15771,1771
15772,1772
15773,1774
15841,1778
15842,1782
15843,1788
15921,2452
15922,1790
15923,1789
15931,2452
15932,1790
15933,1789
15941,1795
15942,1796
15943,1797
15951,1795
15952,1796
15953,1797
15961,1799
15962,1800
15963,1801
15971,1799
15972,1800
15973,1801
15981,1792
15982,1805
15983,1804
15991,1794
15992,1809
15993,1808
16001,1794
16002,1809
16003,1808
16101,1793
16102,1821
16103,1822
16111,1616
16112,1617
16113,1618
16131,1824
16132,1825
16133,1826
16141,1824
16142,1825
16143,1826
16181,1831
16182,1834
16183,1832
16231,1848
16232,1849
16233,1850
16241,1851
16242,1852
16243,2335
16251,1851
16252,1852
16253,2335
16271,1856
16272,1857
16273,1858
16281,1856
16282,1857
16283,1858
16301,1863
16302,1867
16303,1865
16311,1859
16312,1860
16313,1861
17151,1877
17152,1878
17153,1879
17161,1642
17162,1803
17163,1803
17171,1642
17172,1803
17173,1803
17181,1642
17182,1803
17183,1803
17191,1642
17192,1803
17193,1803
17201,1642
17202,1803
17203,1803
17211,1642
17212,1803
17213,1803
17221,1642
17222,1803
17223,1803
17231,1642
17232,1803
17233,1803
17241,1642
17242,1803
17243,1803
17251,1642
17252,1803
17253,1803
17261,1642
17262,1803
17263,1803
17271,1642
17272,1803
17273,1803
17281,1642
17282,1803
17283,1803
17291,1642
17292,1803
17293,1803
17301,1642
17302,1803
17303,1803
17311,1642
17312,1803
17313,1803
17321,1642
17322,1803
17323,1803
17331,1642
17332,1803
17333,1803
17341,1642
17342,1803
17343,1803
17351,1642
17352,1803
17353,1803
17371,1880
17372,1882
17373,1883
17381,1880
17382,1882
17383,1883
17401,1886
17402,1887
17403,1888
17411,1886
17412,1887
17413,1888
17421,263
17422,798
17423,799
17431,1890
17432,1891
17433,1892
17441,1890
17442,1891
17443,1892
17461,1877
17462,1878
17463,1879
17531,1906
17532,1907
17533,1908
17541,1906
17542,1907
17543,1908
17571,1909
17572,1911
17573,1912
17631,1901
17632,1903
17633,1903
17641,1901
17642,1903
17643,1903
17651,1901
17652,1903
17653,1903
17661,1901
17662,1903
17663,1903
17671,1901
17672,1903
17673,1903
17681,1901
17682,1903
17683,1903
17691,1901
17692,1903
17693,1903
17701,1901
17702,1903
17703,1903
17711,1901
17712,1903
17713,1903
17751,1889
17752,1920
17753,1921
17761,1889
17762,1920
17763,1921
17861,1935
17862,1936
17863,1937
17911,1944
17912,1947
17913,1945
17941,88
17942,53
17943,87
18011,1953
18012,1955
18013,1954
18361,1974
18362,1976
18363,1975
18371,1974
18372,1976
18373,1975
18381,1974
18382,1976
18383,1975
18391,1006
