id,I_nd,J_nd
1110,2891,423
1111,2891,424
1112,17699,2890
1113,2893,423
1114,2893,424
1115,17700,2892
1116,2895,425
1117,2895,426
1118,17701,2894
1119,2897,425
1120,2897,426
1121,17702,2896
1122,2899,425
1123,2899,426
1124,17703,2898
1125,17704,2900
1126,17705,2901
1127,2903,427
1128,2905,427
1129,2907,427
1130,2909,427
1131,34964,34965
1132,2911,428
1133,2913,428
1134,2915,428
1135,2917,428
1136,34966,34967
1137,2919,429
1138,17706,2918
1139,2921,17706
1140,17707,2920
1141,2923,17707
1142,430,2922
1143,2925,429
1144,17708,2924
1145,2927,17708
1146,17709,2926
1147,2929,17709
1148,430,2928
1149,2931,429
1150,17710,2930
1151,2933,17710
1152,17711,2932
1153,2935,17711
1154,430,2934
1155,2937,429
1156,17712,2936
1157,2939,17712
1158,17713,2938
1159,2941,17713
1160,430,2940
1161,2943,429
1162,17714,2942
1163,2945,17714
1164,17715,2944
1165,2947,17715
1166,430,2946
1167,119,2948
1168,120,2948
1169,2949,17716
1170,119,2950
1171,120,2950
1172,2951,17717
1173,119,2952
1174,120,2952
1175,2953,17718
1176,2954,119
1177,2955,120
1178,2957,119
1179,2957,120
1180,17719,2956
1181,2959,119
1182,2959,120
1183,17720,2958
1184,2961,119
1185,2961,120
1186,17721,2960
1187,2963,119
1188,2963,120
1189,17722,2962
1190,431,2964
1191,2965,17723
1192,2967,431
1193,17724,2966
1194,2969,431
1195,17725,2968
1196,491,2970
1197,399,2974
1198,491,2972
1199,2977,399
1200,17726,2976
1201,2979,399
1202,17727,2978
1203,17728,491
1204,131,2980
1205,132,2980
1206,2981,17729
1207,133,2982
1208,134,2982
1209,2983,17730
1210,131,2985
1211,132,2984
1212,17731,131
1213,17731,133
1214,2986,132
1215,2987,134
1216,17732,2988
1217,2991,131
1218,2991,132
1219,17733,2990
1220,2993,131
1221,2993,132
1222,17734,2992
1223,2995,131
1224,2995,132
1225,17735,2994
1226,2997,131
1227,2997,132
1228,17736,2996
1229,2999,131
1230,2999,132
1231,17737,2998
1232,3001,131
1233,3001,132
1234,17738,3000
1235,3003,133
1236,3003,134
1237,17739,3002
1238,3005,133
1239,3005,134
1240,17740,3004
1241,3007,133
1242,3007,134
1243,17741,3006
1244,3009,133
1245,3009,134
1246,17742,3008
1247,3011,133
1248,3011,134
1249,17743,3010
1250,17744,3012
1251,17745,3013
1252,3015,746
1253,3017,746
1254,3019,746
1255,3021,746
1256,3023,746
1257,3025,746
1258,3027,135
1259,3029,135
1260,3031,135
1261,3033,135
1262,3035,135
1263,3037,135
1264,3039,136
1265,17746,3038
1266,3041,17746
1267,17747,3040
1268,3043,17747
1269,137,3042
1270,3045,136
1271,17748,3044
1272,3047,17748
1273,17749,3046
1274,3049,17750
1275,17751,3048
1276,3051,17751
1277,137,3050
1278,17752,17751
1279,489,3052
1280,490,3052
1281,489,3054
1282,490,3054
1283,489,3056
1284,490,3056
1285,489,3059
1286,490,3058
1287,3061,489
1288,3061,490
1289,17753,3060
1290,3063,489
1291,3063,490
1292,17754,3062
1293,124,3064
1294,3065,17755
1295,5888,124
1296,17756,5887
1297,34968,34969
1298,34970,34971
1299,34972,34973
1300,34974,34975
1301,34976,34977
1302,34978,34979
1303,34980,34981
1304,34982,34983
1305,34984,34985
1306,34986,34987
1307,34988,34989
1308,34990,34991
1309,34992,34993
1310,34994,34995
1311,34996,34997
1312,34998,34999
1313,35000,35001
1314,35002,35003
1315,35004,35005
1316,35006,35007
1317,400,3066
1318,400,3068
1319,940,3070
1320,142,3072
1321,3075,142
1322,3075,143
1323,3077,142
1324,3077,143
1325,3079,142
1326,3079,143
1327,3081,142
1328,3081,143
1329,3083,142
1330,3083,143
1331,3085,143
1332,3087,143
1333,3089,143
1334,3091,143
1335,3103,40
1336,17757,3102
1337,17757,17758
1338,3105,17757
1339,17759,3104
1340,17759,17760
1341,3107,17759
1342,17761,3106
1343,3109,17761
1344,41,3108
1345,17762,17761
1346,3111,40
1347,17763,3110
1348,17763,17764
1349,3113,17763
1350,17765,3112
1351,3115,17765
1352,41,3114
1353,17766,17765
1354,3117,40
1355,17767,3116
1356,17767,17768
1357,3119,17767
1358,17769,3118
1359,17769,17770
1360,3121,17769
