name,CN_I,CN_J,TxI,TxJ
四川.西坝/3#调压变压器,41396,41397,5071,5072
四川.西坝/4#调压变压器,41398,41399,5081,5082
四川.德胜/1#调压变压器,19194,26899,5201,5202
四川.德胜/2#调压变压器,19160,26900,5211,5212
四川.新广兴/#1动力变压器,5212,27344,5431,5432
四川.新广兴/#2动力变压器,5214,27345,5441,5442
四川.瑞能/1#变压器,19248,10356,5451,5452
四川.瑞能/2#变压器,19249,10358,5461,5462
四川.瑞能/3#变压器,19250,10360,5471,5472
四川.瑞能/4#变压器,19251,10362,5481,5482
四川.电炉/1#变压器,17723,27190,5581,5582
四川.二重/2#变压器,17779,27324,6091,6092
四川.二重/3#变压器,17780,27278,6101,6102
四川.二重/4#变压器,18865,27279,6111,6112
四川.普光/1#变压器,6674,27336,6211,6212
四川.普光/2#变压器,6676,27337,6221,6222
四川.群文/1#变压器,19189,27339,6251,6252
四川.群文/2#变压器,19190,27338,6261,6262
四川.峨铝/1#变压器,41400,41401,6321,6322
四川.峨铝/2#变压器,41402,41403,6331,6332
四川.圣音寺/1#变压器,4524,27325,6421,6422
四川.圣音寺/2#变压器,4526,27326,6431,6432
四川.圣音寺/3#变压器,4528,27327,6441,6442
四川.圣音寺/4#变压器,4530,27328,6451,6452
四川.圣音寺/5#变压器,4532,27329,6461,6462
四川.五贵塘/2#变压器,19355,27384,6731,6732
四川.映秀湾厂/1#变压器,9424,21481,7221,7222
四川.下索子厂/3#变压器,9557,21543,7321,7322
四川.下索子厂/2#变压器,9560,21544,7331,7332
四川.华山沟厂/1#变压器,21601,21600,7421,7422
四川.凤仪厂/1#变压器,9704,21630,7471,7472
四川.凤仪厂/2#变压器,9706,21631,7481,7482
四川.沙溪厂/1#变压器,9744,912,7571,7572
四川.沙溪厂/2#变压器,9746,913,7581,7582
四川.脚基坪厂/1#变压器,9820,922,7641,7642
四川.脚基坪厂/2#变压器,9818,923,7651,7652
四川.狮子坪厂/5#变压器,9830,9829,7661,7662
