id,name,volt,I_node,J_node,I_nd,J_nd,I_id,J_id
序号,断路器名,电压等级,I端所在拓扑节点,J端所在拓扑节点,I端物理节点,J端物理节点,I端所属厂站索引,J端所属厂站索引
9896,四川.南充/380V.8103开关,0,四川.南充.0.nd32372,四川.南充.0.nd32373,32372,32373,2433,2433
9897,四川.南充/380V.8011开关,0,四川.南充.0.nd32374,四川.南充.0.nd32375,32374,32375,2433,2433
9898,四川.南充/380V.8021开关,0,四川.南充.0.nd32376,四川.南充.0.nd32377,32376,32377,2433,2433
9899,四川.南充/380V.812开关,0,四川.南充.0.nd32378,四川.南充.0.nd32379,32378,32379,2433,2433
9900,四川.南充/380V.9101开关,0,四川.南充.0.nd32380,四川.南充.0.nd32381,32380,32381,2433,2433
9901,四川.南充/380V.9102开关,0,四川.南充.0.nd32382,四川.南充.0.nd32383,32382,32383,2433,2433
9902,四川.南充/380V.9105开关,0,四川.南充.0.nd32384,四川.南充.0.nd32385,32384,32385,2433,2433
9903,四川.南充/380V.9011开关,0,四川.南充.0.nd32386,四川.南充.0.nd32387,32386,32387,2433,2433
9904,四川.南充/380V.9012开关,0,四川.南充.0.nd32388,四川.南充.0.nd32389,32388,32389,2433,2433
9905,四川.南充/380V.9021开关,0,四川.南充.0.nd32390,四川.南充.0.nd32391,32390,32391,2433,2433
9906,四川.南充/380V.9022开关,0,四川.南充.0.nd32392,四川.南充.0.nd32393,32392,32393,2433,2433
9907,四川.南充/220V.8013开关,0,四川.南充.0.nd32394,四川.南充.0.nd32395,32394,32395,2433,2433
9908,四川.南充/220V.8023开关,0,四川.南充.0.nd32396,四川.南充.0.nd32397,32396,32397,2433,2433
9909,四川.南充/380V.#11TZLK虚开关,0,四川.南充.0.nd32398,四川.南充.0.nd32399,32398,32399,2433,2433
9910,四川.南充/380V.#12TZLK虚开关,0,四川.南充.0.nd32400,四川.南充.0.nd32401,32400,32401,2433,2433
9911,四川.南充/380V.#15TZLK虚开关,0,四川.南充.0.nd32402,四川.南充.0.nd32403,32402,32403,2433,2433
9912,四川.南充/380V.#21TZLK虚开关,0,四川.南充.0.nd32404,四川.南充.0.nd32405,32404,32405,2433,2433
9913,四川.南充/380V.#22TZLK虚开关,0,四川.南充.0.nd32406,四川.南充.0.nd32407,32406,32407,2433,2433
9914,四川.南充/380V.#25TZLK虚开关,0,四川.南充.0.nd32408,四川.南充.0.nd32409,32408,32409,2433,2433
9915,四川.南充/380V.通信直流#1充电机交流进线1虚开关,0,四川.南充.0.nd32410,四川.南充.0.nd32411,32410,32411,2433,2433
9916,四川.南充/380V.通信直流#1充电机交流进线2虚开关,0,四川.南充.0.nd32412,四川.南充.0.nd32413,32412,32413,2433,2433
9917,四川.南充/380V.通信直流#2充电机交流进线1虚开关,0,四川.南充.0.nd32414,四川.南充.0.nd32415,32414,32415,2433,2433
9918,四川.南充/380V.通信直流#2充电机交流进线2虚开关,0,四川.南充.0.nd32416,四川.南充.0.nd32417,32416,32417,2433,2433
9919,四川.南充/380V.#1UPS交流进线虚开关,0,四川.南充.0.nd32418,四川.南充.0.nd32419,32418,32419,2433,2433
9920,四川.南充/380V.#1UPS旁路进线虚开关,0,四川.南充.0.nd32420,四川.南充.0.nd32421,32420,32421,2433,2433
9921,四川.南充/380V.#2UPS交流进线虚开关,0,四川.南充.0.nd32422,四川.南充.0.nd32423,32422,32423,2433,2433
9922,四川.南充/380V.#2UPS旁路进线虚开关,0,四川.南充.0.nd32424,四川.南充.0.nd32425,32424,32425,2433,2433
9923,四川.南充/380V.#1UPI虚开关,0,四川.南充.0.nd32426,四川.南充.0.nd32427,32426,32427,2433,2433
9924,四川.南充/380V.#1UPR虚开关,0,四川.南充.0.nd32428,四川.南充.0.nd32429,32428,32429,2433,2433
9925,四川.南充/380V.#2UPI虚开关,0,四川.南充.0.nd32430,四川.南充.0.nd32431,32430,32431,2433,2433
9926,四川.南充/380V.#2UPR虚开关,0,四川.南充.0.nd32432,四川.南充.0.nd32433,32432,32433,2433,2433
9927,四川.南充/380V.直流系统#1充电机交流进线1虚开关,0,四川.南充.0.nd32434,四川.南充.0.nd32435,32434,32435,2433,2433
9928,四川.南充/380V.直流系统#1充电机交流进线2虚开关,0,四川.南充.0.nd32436,四川.南充.0.nd32437,32436,32437,2433,2433
9929,四川.南充/380V.直流系统#2充电机交流进线1虚开关,0,四川.南充.0.nd32438,四川.南充.0.nd32439,32438,32439,2433,2433
9930,四川.南充/380V.直流系统#2充电机交流进线2虚开关,0,四川.南充.0.nd32440,四川.南充.0.nd32441,32440,32441,2433,2433
9931,四川.南充/380V.直流系统#3充电机交流进线1虚开关,0,四川.南充.0.nd32442,四川.南充.0.nd32443,32442,32443,2433,2433
9932,四川.南充/380V.直流系统#3充电机交流进线2虚开关,0,四川.南充.0.nd32444,四川.南充.0.nd32445,32444,32445,2433,2433
9933,四川.南充/48V.902开关,48,四川.南充.48.nd32446,四川.南充.48.nd32447,32446,32447,2434,2434
9934,四川.南充/380V.8202开关,0,四川.南充.0.nd32448,四川.南充.0.nd32449,32448,32449,2433,2433
9935,四川.南充/380V.8201开关,0,四川.南充.0.nd32450,四川.南充.0.nd32451,32450,32451,2433,2433
9936,四川.南充/380V.8203开关,0,四川.南充.0.nd32452,四川.南充.0.nd32453,32452,32453,2433,2433
9937,四川.达州/380V.7011开关,0,四川.达州.0.nd32454,四川.达州.0.nd32455,32454,32455,1461,1461
9938,四川.达州/380V.7012开关,0,四川.达州.0.nd32456,四川.达州.0.nd32457,32456,32457,1461,1461
9939,四川.达州/380V.7021开关,0,四川.达州.0.nd32458,四川.达州.0.nd32459,32458,32459,1461,1461
9940,四川.达州/380V.7022开关,0,四川.达州.0.nd32460,四川.达州.0.nd32461,32460,32461,1461,1461
9941,四川.达州/380V.7031开关,0,四川.达州.0.nd32462,四川.达州.0.nd32463,32462,32463,1461,1461
9942,四川.达州/380V.7032开关,0,四川.达州.0.nd32464,四川.达州.0.nd32465,32464,32465,1461,1461
9943,四川.达州/380V.1MK1虚开关,0,四川.达州.0.nd32466,四川.达州.0.nd32467,32466,32467,1461,1461
