id,name,volt,Q_rate,V_rate,position,node,P,Q,off,Q_meas,nd,bs,island,type,base_value
序号,并补名,电压等级,额定容量,额定电压,连接位置,所在拓扑节点,有功功率,无功功率,停运标志,无功量测,物理节点,计算节点,电气岛号,类型,电压等级
128,丹景.35kV.2-1#电抗器,35,-60.000,37.000,0,四川.丹景.35.648,0.000,0.000,1,0,2910,648,0,Compensator_P,35
129,丹景.35kV.2-1#电容器,35,60.000,37.000,0,四川.丹景.35.648,0.000,66.656,0,64.65,2912,648,0,Compensator_P,35
130,丹景.35kV.2-2#电抗器,35,-60.000,37.000,0,四川.丹景.35.648,0.000,0.000,1,0,2914,648,0,Compensator_P,35
131,丹景.35kV.2-2#电容器,35,60.000,37.000,0,四川.丹景.35.648,0.000,66.656,0,64.51,2916,648,0,Compensator_P,35
132,丹景.35kV.2-3#电抗器,35,-60.000,37.000,0,四川.丹景.35.nd50416,0.000,0.000,1,0,50416,655,-1,Compensator_P,35
133,东坡.35kV.1-1#电容器,35,60.000,37.000,0,四川.东坡.35.nd3014,0.000,0.000,1,0,3014,790,-1,Compensator_P,35
134,东坡.35kV.1-2#电容器,35,60.000,37.000,0,四川.东坡.35.nd3016,0.000,0.000,1,0,3016,790,-1,Compensator_P,35
135,九龙.35kV.1-1#电抗器,35,-45.000,37.000,0,四川.九龙.35.nd3798,0.000,0.000,1,0,3798,1410,-1,Compensator_P,35
136,九龙.35kV.1-2#电抗器,35,-45.000,37.000,0,四川.九龙.35.nd3800,0.000,0.000,1,0,3800,1410,-1,Compensator_P,35
137,九龙.35kV.2-1#电抗器,35,-45.000,37.000,0,四川.九龙.35.nd3802,0.000,0.000,1,0,3802,1411,-1,Compensator_P,35
138,九龙.35kV.2-2#电抗器,35,-45.000,37.000,0,四川.九龙.35.nd3804,0.000,0.000,1,0,3804,1411,-1,Compensator_P,35
139,泸州.35kV.1-1#电抗器,35,-60.000,37.000,0,西南.泸州站.35.3636,0.000,0.000,1,0,5744,3636,0,Compensator_P,35
140,泸州.35kV.1-3#电抗器,35,-60.000,37.000,0,西南.泸州站.35.3636,0.000,0.000,1,0,5748,3636,0,Compensator_P,35
141,泸州.35kV.1-1#电容器,35,40.000,37.000,0,西南.泸州站.35.3636,0.000,38.811,0,37.79,5740,3636,0,Compensator_P,35
142,泸州.35kV.1-2#电容器,35,40.000,37.000,0,西南.泸州站.35.3636,0.000,38.811,0,34.97,5742,3636,0,Compensator_P,35
143,泸州.35kV.2-1#电容器,35,40.000,37.000,0,西南.泸州站.35.3637,0.000,38.794,0,37.79,5750,3637,0,Compensator_P,35
144,泸州.35kV.2-2#电容器,35,40.000,37.000,0,西南.泸州站.35.3637,0.000,38.794,0,34.91,5752,3637,0,Compensator_P,35
145,泸州.35kV.2-1#电抗器,35,-60.000,37.000,0,西南.泸州站.35.3637,0.000,0.000,1,0,5754,3637,0,Compensator_P,35
146,泸州.35kV.2-2#电抗器,35,-60.000,37.000,0,西南.泸州站.35.3637,0.000,0.000,1,0,5756,3637,0,Compensator_P,35
147,泸州.35kV.2-3#电抗器,35,-60.000,37.000,0,西南.泸州站.35.3637,0.000,0.000,1,0,5758,3637,0,Compensator_P,35
148,茂县.35kV.1-1#电抗器,35,-45.000,37.000,0,四川.茂县.35.1760,0.000,-39.603,0,-42.02,4154,1760,0,Compensator_P,35
149,茂县.35kV.2-1#电抗器,35,-45.000,37.000,0,四川.茂县.35.nd4156,0.000,0.000,1,0,4156,1761,-1,Compensator_P,35
150,茂县.500kV.茂谭一线电抗器,500,-120.000,525.000,四川.茂谭一线,四川.茂县.500.1756,0.000,-111.196,0,-110.32,18157,1756,0,Compensator_P,525
151,茂县.500kV.茂谭二线电抗器,500,-120.000,525.000,四川.茂谭二线,四川.茂县.500.1756,0.000,-111.196,0,-110.04,18160,1756,0,Compensator_P,525
152,南天站.500kV.普天线线路高抗,500,-180.000,525.000,西南.普天线,国调.南天站.500.1984,0.000,-164.503,0,-163.49,18223,1984,0,Compensator_P,525
153,南天.35kV.2-1#电抗器,35,-60.000,37.000,0,国调.南天站.35.2026,0.000,0.000,1,0,4336,2026,0,Compensator_P,35
154,南天.35kV.2-2#电抗器,35,-60.000,37.000,0,国调.南天站.35.2026,0.000,0.000,1,0,4338,2026,0,Compensator_P,35
155,南天.35kV.2-3#电抗器,35,-60.000,37.000,0,国调.南天站.35.2026,0.000,0.000,1,0,4340,2026,0,Compensator_P,35
156,南天.35kV.2-1#电容器,35,33.000,37.000,0,国调.南天站.35.2026,0.000,34.217,0,32.42,4342,2026,0,Compensator_P,35
157,南天.35kV.2-2#电容器,35,33.000,37.000,0,国调.南天站.35.2026,0.000,0.000,1,0,4344,2026,0,Compensator_P,35
158,南充.500kV.南谭二线电抗器,500,-150.000,525.000,四川.南谭二线,四川.南充.500.1822,0.000,-137.804,0,-136.47,18205,1822,0,Compensator_P,525
159,蜀州.35kV.1-1#电抗器,35,-60.000,37.000,0,四川.蜀州.35.2666,0.000,0.000,1,0,4714,2666,0,Compensator_P,35
160,蜀州.35kV.1-2#电抗器,35,-60.000,37.000,0,四川.蜀州.35.2666,0.000,0.000,1,0,4716,2666,0,Compensator_P,35
161,蜀州.35kV.1-3#电抗器,35,-60.000,37.000,0,四川.蜀州.35.2666,0.000,0.000,1,0,4718,2666,0,Compensator_P,35
162,蜀州.35kV.1-1#电容器,35,60.000,37.000,0,四川.蜀州.35.2666,0.000,63.911,0,60.02,4720,2666,0,Compensator_P,35
163,蜀州.35kV.1-2#电容器,35,50.000,37.000,0,四川.蜀州.35.2666,0.000,0.000,1,0,4722,2666,0,Compensator_P,35
164,谭家湾.35kV.1-1#电容器,35,60.000,37.000,0,西南.谭家湾站.35.2859,0.000,0.000,1,0,4882,2859,0,Compensator_P,35
165,谭家湾.35kV.2-2#电抗器,35,-60.000,37.000,0,西南.谭家湾站.35.2860,0.000,0.000,1,0,4890,2860,0,Compensator_P,35
166,谭家湾.35kV.2-3#电抗器,35,-60.000,37.000,0,西南.谭家湾站.35.2860,0.000,0.000,1,0,4892,2860,0,Compensator_P,35
167,谭家湾.35kV.2-1#电容器,35,40.000,37.000,0,西南.谭家湾站.35.2860,0.000,0.000,1,0,4894,2860,0,Compensator_P,35
168,谭家湾.35kV.2-2#电容器,35,40.000,37.000,0,西南.谭家湾站.35.2860,0.000,0.000,1,0,4896,2860,0,Compensator_P,35
169,谭家湾.35kV.2-3#电容器,35,40.000,37.000,0,西南.谭家湾站.35.2860,0.000,0.000,1,0,4898,2860,0,Compensator_P,35
170,叙府.35kV.1-1#电抗器,35,-60.000,37.000,0,西南.叙府站.35.3234,0.000,0.000,1,0,5302,3234,0,Compensator_P,35
